variant,seed,family,n,NMSE,PSNR,SSIM
R05_rsbfilm_env_softPcyc,0,point_cluster,20,1.082382466998008,33.654264741147415,0.6791671835307989
R05_rsbfilm_env_softPcyc,0,small_rect_edge,10,1.016060661462999,29.52010756820851,0.4503161678332683
R05_rsbfilm_env_softPcyc,1,L-shape,20,0.9986732763681193,28.299017515501145,0.3729254374525991
R05_rsbfilm_env_softPcyc,1,cross,15,0.9977565227270639,29.98313281824142,0.46829269021716313
R05_rsbfilm_env_softPcyc,1,double-line,15,0.9994832300762435,27.40070816506098,0.32409416635169414
R05_rsbfilm_env_softPcyc,1,line,20,1.0010388547756421,30.664875752776673,0.5060592220491562
R05_rsbfilm_env_softPcyc,1,point_cluster,20,1.0012110186693723,33.98812803244516,0.6991466644497113
R05_rsbfilm_env_softPcyc,1,small_rect_edge,10,1.0005675238624054,29.586658449641796,0.44694588494694837
R05_rsbfilm_env_softPcyc,2,L-shape,20,0.9911932483636091,28.331680398185505,0.3796079707991739
R05_rsbfilm_env_softPcyc,2,cross,15,0.9924322936585716,30.006395544106745,0.47269673007480034
R05_rsbfilm_env_softPcyc,2,double-line,15,0.992639496134073,27.430570734032283,0.330610165790733
R05_rsbfilm_env_softPcyc,2,line,20,0.9921357989993262,30.703555914047605,0.5112991520538729
R05_rsbfilm_env_softPcyc,2,point_cluster,20,0.9956535410622772,34.01227345484021,0.7013112135030666
R05_rsbfilm_env_softPcyc,2,small_rect_edge,10,0.994069937900966,29.614953384183387,0.45176635032630197
